id,date,type,category,description,amount,currency,merchantId,merchantName,mcc,isRecurring,essentiality,labelRecurring,labelEssential
txn_64,2025-04-18,expense,health,Health expense,381.27,USD,m_boots,Boots,5912,False,essential,0,1
txn_65,2025-05-16,expense,rent,Rent expense,57.19,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_66,2025-08-05,expense,rent,Rent expense,201.47,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_67,2025-03-08,expense,transport,Transport expense,445.26,GBP,m_bp,BP,5541,False,essential,0,1
txn_68,2025-10-10,expense,groceries,Groceries expense,47.0,GBP,m_tesco,Tesco,5411,False,essential,0,1
txn_69,2025-12-20,expense,shopping,Shopping expense,350.34,GBP,m_amazon,Amazon,5942,False,discretionary,0,0
txn_70,2025-03-17,expense,coffee,Coffee expense,220.06,GBP,m_nero,Caffè Nero,5814,False,discretionary,0,0
txn_71,2025-01-21,expense,health,Health expense,151.22,USD,m_nhs,NHS,8099,False,essential,0,1
txn_72,2025-02-22,expense,mobile,Mobile expense,450.19,INR,m_o2,O2,4814,True,essential,1,1
txn_73,2025-05-02,expense,travel,Travel expense,16.82,USD,m_airbnb,Airbnb,7011,False,discretionary,0,0
txn_74,2025-06-20,expense,subscriptions,Subscriptions expense,402.6,INR,m_disney,Disney+,4899,True,discretionary,1,0
txn_75,2025-05-08,expense,travel,Travel expense,523.56,GBP,m_booking,Booking.com,7011,False,discretionary,0,0
txn_76,2025-08-29,expense,shopping,Shopping expense,184.5,INR,m_amazon,Amazon,5942,False,discretionary,0,0
txn_77,2025-04-27,expense,travel,Travel expense,198.3,USD,m_ryanair,Ryanair,4511,False,discretionary,0,0
txn_78,2025-02-05,expense,shopping,Shopping expense,385.61,GBP,m_amazon,Amazon,5942,False,discretionary,0,0
txn_79,2025-07-24,expense,rent,Rent expense,70.97,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_80,2025-05-14,income,salary,Salary payment,611.93,GBP,m_employer,Employer Payroll,0,True,essential,1,1
txn_81,2025-08-11,expense,travel,Travel expense,364.51,GBP,m_airbnb,Airbnb,7011,False,discretionary,0,0
txn_82,2025-09-19,income,bonus,Bonus payment,368.67,USD,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_83,2025-08-12,income,bonus,Bonus payment,1838.93,USD,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_84,2025-12-07,expense,health,Health expense,509.11,GBP,m_nhs,NHS,8099,False,essential,0,1
txn_85,2025-06-03,expense,shopping,Shopping expense,242.64,INR,m_argos,Argos,5311,False,discretionary,0,0
txn_86,2025-06-01,expense,travel,Travel expense,399.63,USD,m_ba,British Airways,4511,False,discretionary,0,0
txn_87,2025-07-14,expense,mobile,Mobile expense,342.32,USD,m_vodafone,Vodafone,4814,True,essential,1,1
txn_88,2025-07-27,expense,coffee,Coffee expense,173.57,GBP,m_nero,Caffè Nero,5814,False,discretionary,0,0
txn_89,2025-08-09,expense,utilities,Utilities expense,266.19,GBP,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_90,2025-12-12,income,freelance,Freelance payment,2703.63,INR,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_91,2025-05-26,expense,groceries,Groceries expense,491.42,GBP,m_asda,ASDA,5411,False,essential,0,1
txn_92,2025-05-01,expense,subscriptions,Subscriptions expense,121.08,USD,m_netflix,Netflix,4899,True,discretionary,1,0
txn_93,2025-01-13,income,dividend,Dividend payment,3429.0,INR,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_94,2025-02-07,expense,entertainment,Entertainment expense,418.42,USD,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_95,2025-09-11,expense,health,Health expense,413.2,USD,m_nhs,NHS,8099,False,essential,0,1
txn_96,2025-02-24,expense,transport,Transport expense,482.86,USD,m_uber,Uber,4121,False,essential,0,1
txn_97,2025-12-23,expense,internet,Internet expense,151.02,GBP,m_bt,BT,4814,True,essential,1,1
txn_98,2025-03-04,expense,health,Health expense,319.62,INR,m_superdrug,Superdrug,5912,False,essential,0,1
txn_99,2025-10-14,expense,mobile,Mobile expense,489.37,INR,m_vodafone,Vodafone,4814,True,essential,1,1
txn_100,2025-09-16,expense,transport,Transport expense,446.71,INR,m_tfl,Transport for London,4111,False,essential,0,1
txn_101,2025-09-01,expense,health,Health expense,167.83,USD,m_nhs,NHS,8099,False,essential,0,1
txn_102,2025-09-24,expense,coffee,Coffee expense,265.04,USD,m_costa,Costa Coffee,5814,False,discretionary,0,0
txn_103,2025-05-27,expense,shopping,Shopping expense,536.03,GBP,m_amazon,Amazon,5942,False,discretionary,0,0
txn_104,2025-02-11,income,interest,Interest payment,2837.01,USD,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_105,2025-12-28,income,interest,Interest payment,1457.35,INR,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_106,2025-08-27,expense,travel,Travel expense,234.91,USD,m_ryanair,Ryanair,4511,False,discretionary,0,0
txn_107,2025-10-27,expense,subscriptions,Subscriptions expense,346.26,GBP,m_microsoft,Microsoft,5734,True,discretionary,1,0
txn_108,2025-09-02,income,bonus,Bonus payment,3063.21,GBP,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_109,2025-08-03,expense,utilities,Utilities expense,133.21,USD,m_britishgas,British Gas,4900,True,essential,1,1
txn_110,2025-08-12,expense,shopping,Shopping expense,401.99,INR,m_amazon,Amazon,5942,False,discretionary,0,0
txn_111,2025-07-27,expense,transport,Transport expense,588.47,INR,m_tfl,Transport for London,4111,False,essential,0,1
txn_112,2025-10-01,income,dividend,Dividend payment,2344.69,INR,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_113,2025-01-14,income,freelance,Freelance payment,3494.04,INR,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_114,2025-04-04,income,bonus,Bonus payment,1004.31,INR,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_115,2025-06-17,expense,coffee,Coffee expense,451.7,INR,m_costa,Costa Coffee,5814,False,discretionary,0,0
txn_116,2025-08-04,expense,utilities,Utilities expense,13.59,GBP,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_117,2025-10-04,income,freelance,Freelance payment,2670.55,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_118,2025-11-30,income,freelance,Freelance payment,957.57,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_119,2025-01-11,expense,transport,Transport expense,285.19,USD,m_tfl,Transport for London,4111,False,essential,0,1
txn_120,2025-02-28,expense,utilities,Utilities expense,420.28,USD,m_britishgas,British Gas,4900,True,essential,1,1
txn_121,2025-07-08,income,freelance,Freelance payment,3865.94,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_122,2025-02-25,expense,mobile,Mobile expense,407.05,GBP,m_o2,O2,4814,True,essential,1,1
txn_123,2025-07-12,expense,groceries,Groceries expense,356.07,USD,m_waitrose,Waitrose,5411,False,essential,0,1
txn_124,2025-11-18,expense,health,Health expense,361.05,GBP,m_superdrug,Superdrug,5912,False,essential,0,1
txn_125,2025-03-03,expense,shopping,Shopping expense,320.58,GBP,m_amazon,Amazon,5942,False,discretionary,0,0
txn_126,2025-12-05,expense,rent,Rent expense,510.05,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_127,2025-09-08,income,interest,Interest payment,2887.77,GBP,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_128,2025-08-11,income,dividend,Dividend payment,3271.16,GBP,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_129,2025-10-03,expense,travel,Travel expense,495.79,INR,m_ryanair,Ryanair,4511,False,discretionary,0,0
txn_130,2025-10-31,expense,groceries,Groceries expense,168.8,USD,m_mands,Marks & Spencer,5411,False,essential,0,1
txn_131,2025-08-19,expense,mobile,Mobile expense,366.98,INR,m_ee,EE,4814,True,essential,1,1
txn_132,2025-07-14,expense,shopping,Shopping expense,110.74,INR,m_amazon,Amazon,5942,False,discretionary,0,0
txn_133,2025-04-19,expense,shopping,Shopping expense,169.24,GBP,m_johnlewis,John Lewis,5311,False,discretionary,0,0
txn_134,2025-11-02,expense,internet,Internet expense,8.07,GBP,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_135,2025-04-08,income,interest,Interest payment,2309.67,INR,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_136,2025-05-04,expense,utilities,Utilities expense,476.17,INR,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_137,2025-02-17,expense,entertainment,Entertainment expense,147.5,INR,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_138,2025-12-06,expense,internet,Internet expense,319.49,INR,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_139,2025-08-06,expense,shopping,Shopping expense,422.31,GBP,m_amazon,Amazon,5942,False,discretionary,0,0
txn_140,2025-05-19,expense,groceries,Groceries expense,433.33,USD,m_waitrose,Waitrose,5411,False,essential,0,1
txn_141,2025-06-11,income,freelance,Freelance payment,1022.26,USD,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_142,2025-09-05,expense,groceries,Groceries expense,499.91,GBP,m_asda,ASDA,5411,False,essential,0,1
txn_143,2025-06-01,expense,coffee,Coffee expense,10.46,USD,m_nero,Caffè Nero,5814,False,discretionary,0,0
txn_144,2025-10-01,income,salary,Salary payment,2302.76,GBP,m_employer,Employer Payroll,0,True,essential,1,1
txn_145,2025-12-24,expense,groceries,Groceries expense,523.89,INR,m_lidl,Lidl,5411,False,essential,0,1
txn_146,2025-10-21,expense,utilities,Utilities expense,205.74,INR,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_147,2025-01-27,expense,groceries,Groceries expense,493.63,INR,m_sainsbury,Sainsbury's,5411,False,essential,0,1
txn_148,2025-07-25,expense,transport,Transport expense,91.22,GBP,m_uber,Uber,4121,False,essential,0,1
txn_149,2025-10-16,expense,dining,Dining expense,72.83,GBP,m_mcd,McDonald's,5814,False,discretionary,0,0
txn_150,2025-08-02,expense,subscriptions,Subscriptions expense,314.5,USD,m_youtube,YouTube Premium,4899,True,discretionary,1,0
txn_151,2025-08-19,expense,mobile,Mobile expense,594.04,GBP,m_o2,O2,4814,True,essential,1,1
txn_152,2025-06-06,expense,mobile,Mobile expense,576.15,GBP,m_ee,EE,4814,True,essential,1,1
txn_153,2025-02-20,expense,health,Health expense,128.19,USD,m_superdrug,Superdrug,5912,False,essential,0,1
txn_154,2025-12-05,income,freelance,Freelance payment,2297.57,USD,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_155,2025-03-22,income,dividend,Dividend payment,1985.67,INR,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_156,2025-01-17,expense,entertainment,Entertainment expense,516.04,GBP,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_157,2025-02-06,expense,subscriptions,Subscriptions expense,475.17,GBP,m_disney,Disney+,4899,True,discretionary,1,0
txn_158,2025-10-29,expense,travel,Travel expense,70.64,USD,m_ryanair,Ryanair,4511,False,discretionary,0,0
txn_159,2025-04-26,expense,transport,Transport expense,44.7,GBP,m_tfl,Transport for London,4111,False,essential,0,1
txn_160,2025-03-26,expense,utilities,Utilities expense,76.36,GBP,m_thameswater,Thames Water,4900,True,essential,1,1
txn_161,2025-12-19,expense,coffee,Coffee expense,301.28,INR,m_costa,Costa Coffee,5814,False,discretionary,0,0
txn_162,2025-09-10,expense,travel,Travel expense,441.25,GBP,m_ba,British Airways,4511,False,discretionary,0,0
txn_163,2025-11-06,expense,dining,Dining expense,577.22,GBP,m_deliveroo,Deliveroo,5814,False,discretionary,0,0
txn_164,2025-10-22,expense,subscriptions,Subscriptions expense,404.02,GBP,m_netflix,Netflix,4899,True,discretionary,1,0
txn_165,2025-05-18,expense,utilities,Utilities expense,312.34,USD,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_166,2025-08-15,expense,mobile,Mobile expense,262.66,USD,m_ee,EE,4814,True,essential,1,1
txn_167,2025-09-09,expense,shopping,Shopping expense,246.19,INR,m_amazon,Amazon,5942,False,discretionary,0,0
txn_168,2025-06-14,expense,shopping,Shopping expense,248.16,USD,m_amazon,Amazon,5942,False,discretionary,0,0
txn_169,2025-09-11,expense,subscriptions,Subscriptions expense,330.96,INR,m_disney,Disney+,4899,True,discretionary,1,0
txn_170,2025-08-21,income,bonus,Bonus payment,640.5,GBP,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_171,2025-07-26,expense,health,Health expense,521.88,GBP,m_boots,Boots,5912,False,essential,0,1
txn_172,2025-08-25,expense,internet,Internet expense,218.34,USD,m_bt,BT,4814,True,essential,1,1
txn_173,2025-09-13,expense,dining,Dining expense,161.7,GBP,m_deliveroo,Deliveroo,5814,False,discretionary,0,0
txn_174,2025-03-09,expense,entertainment,Entertainment expense,291.86,INR,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_175,2025-01-15,expense,entertainment,Entertainment expense,96.71,USD,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_176,2025-10-10,income,salary,Salary payment,1053.86,INR,m_employer,Employer Payroll,0,True,essential,1,1
txn_177,2025-02-28,expense,health,Health expense,499.62,GBP,m_nhs,NHS,8099,False,essential,0,1
txn_178,2025-09-13,expense,internet,Internet expense,423.84,GBP,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_179,2025-08-01,expense,dining,Dining expense,275.16,INR,m_mcd,McDonald's,5814,False,discretionary,0,0
txn_180,2025-03-16,expense,groceries,Groceries expense,167.2,USD,m_mands,Marks & Spencer,5411,False,essential,0,1
txn_181,2025-08-01,expense,rent,Rent expense,171.14,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_182,2025-06-02,expense,transport,Transport expense,269.04,INR,m_trainline,Trainline,4112,False,essential,0,1
txn_183,2025-09-05,expense,utilities,Utilities expense,559.85,INR,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_184,2025-04-07,expense,mobile,Mobile expense,231.02,USD,m_ee,EE,4814,True,essential,1,1
txn_185,2025-07-30,income,interest,Interest payment,1667.1,INR,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_186,2025-12-06,expense,utilities,Utilities expense,578.97,USD,m_britishgas,British Gas,4900,True,essential,1,1
txn_187,2025-03-06,expense,groceries,Groceries expense,524.77,GBP,m_tesco,Tesco,5411,False,essential,0,1
txn_188,2025-08-14,income,salary,Salary payment,2945.29,INR,m_employer,Employer Payroll,0,True,essential,1,1
txn_189,2025-07-29,expense,groceries,Groceries expense,282.76,USD,m_asda,ASDA,5411,False,essential,0,1
txn_190,2025-05-16,expense,health,Health expense,50.03,INR,m_superdrug,Superdrug,5912,False,essential,0,1
txn_191,2025-06-18,expense,shopping,Shopping expense,376.83,INR,m_ikea,IKEA,5712,False,discretionary,0,0
txn_192,2025-09-07,expense,mobile,Mobile expense,42.92,GBP,m_o2,O2,4814,True,essential,1,1
txn_193,2025-11-20,expense,dining,Dining expense,448.57,GBP,m_ubereats,Uber Eats,5814,False,discretionary,0,0
txn_194,2025-08-11,expense,utilities,Utilities expense,101.49,GBP,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_195,2025-06-03,expense,shopping,Shopping expense,478.09,GBP,m_amazon,Amazon,5942,False,discretionary,0,0
txn_196,2025-05-31,expense,transport,Transport expense,148.03,INR,m_nationalrail,National Rail,4112,False,essential,0,1
txn_197,2025-07-30,expense,transport,Transport expense,106.69,USD,m_tfl,Transport for London,4111,False,essential,0,1
txn_198,2025-11-09,expense,utilities,Utilities expense,547.87,USD,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_199,2025-03-15,expense,utilities,Utilities expense,154.69,GBP,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_200,2025-01-05,expense,coffee,Coffee expense,407.21,INR,m_costa,Costa Coffee,5814,False,discretionary,0,0
txn_201,2025-03-22,income,dividend,Dividend payment,1336.79,GBP,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_202,2025-08-06,expense,coffee,Coffee expense,121.13,INR,m_nero,Caffè Nero,5814,False,discretionary,0,0
txn_203,2025-07-16,expense,dining,Dining expense,230.06,GBP,m_mcd,McDonald's,5814,False,discretionary,0,0
txn_204,2025-07-03,expense,rent,Rent expense,586.81,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_205,2025-12-04,expense,mobile,Mobile expense,519.31,GBP,m_o2,O2,4814,True,essential,1,1
txn_206,2025-01-26,expense,coffee,Coffee expense,465.89,INR,m_nero,Caffè Nero,5814,False,discretionary,0,0
txn_207,2025-04-28,expense,dining,Dining expense,382.7,GBP,m_deliveroo,Deliveroo,5814,False,discretionary,0,0
txn_208,2025-11-14,expense,health,Health expense,60.1,USD,m_nhs,NHS,8099,False,essential,0,1
txn_209,2025-11-18,expense,subscriptions,Subscriptions expense,265.61,GBP,m_spotify,Spotify,4899,True,discretionary,1,0
txn_210,2025-10-24,expense,groceries,Groceries expense,545.96,USD,m_sainsbury,Sainsbury's,5411,False,essential,0,1
txn_211,2025-06-17,expense,dining,Dining expense,81.03,USD,m_ubereats,Uber Eats,5814,False,discretionary,0,0
txn_212,2025-10-04,expense,internet,Internet expense,302.07,GBP,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_213,2025-05-20,expense,utilities,Utilities expense,580.5,GBP,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_214,2025-06-01,expense,subscriptions,Subscriptions expense,70.87,GBP,m_spotify,Spotify,4899,True,discretionary,1,0
txn_215,2025-02-08,income,interest,Interest payment,3875.63,USD,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_216,2025-10-13,expense,rent,Rent expense,160.15,INR,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_217,2025-03-05,expense,mobile,Mobile expense,229.85,GBP,m_vodafone,Vodafone,4814,True,essential,1,1
txn_218,2025-11-23,expense,health,Health expense,141.83,GBP,m_superdrug,Superdrug,5912,False,essential,0,1
txn_219,2025-01-13,expense,mobile,Mobile expense,134.38,GBP,m_o2,O2,4814,True,essential,1,1
txn_220,2025-02-02,expense,entertainment,Entertainment expense,182.71,INR,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_221,2025-07-29,income,salary,Salary payment,1356.59,GBP,m_employer,Employer Payroll,0,True,essential,1,1
txn_222,2025-09-10,income,dividend,Dividend payment,715.52,USD,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_223,2025-08-21,expense,mobile,Mobile expense,445.88,INR,m_o2,O2,4814,True,essential,1,1
txn_224,2025-03-21,expense,utilities,Utilities expense,370.16,GBP,m_octopus,Octopus Energy,4900,True,essential,1,1
txn_225,2025-05-24,income,freelance,Freelance payment,1884.86,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_226,2025-05-01,expense,health,Health expense,221.67,GBP,m_nhs,NHS,8099,False,essential,0,1
txn_227,2025-11-27,expense,coffee,Coffee expense,115.51,INR,m_starbucks,Starbucks,5814,False,discretionary,0,0
txn_228,2025-03-04,expense,groceries,Groceries expense,398.34,INR,m_tesco,Tesco,5411,False,essential,0,1
txn_229,2025-11-25,expense,rent,Rent expense,472.5,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_230,2025-05-05,expense,groceries,Groceries expense,498.23,USD,m_waitrose,Waitrose,5411,False,essential,0,1
txn_231,2025-10-11,income,freelance,Freelance payment,1448.53,USD,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_232,2025-03-17,expense,coffee,Coffee expense,515.33,GBP,m_starbucks,Starbucks,5814,False,discretionary,0,0
txn_233,2025-03-16,expense,subscriptions,Subscriptions expense,106.35,GBP,m_adobe,Adobe,5734,True,discretionary,1,0
txn_234,2025-12-05,expense,rent,Rent expense,216.23,USD,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_235,2025-05-02,expense,transport,Transport expense,160.69,GBP,m_trainline,Trainline,4112,False,essential,0,1
txn_236,2025-03-06,expense,entertainment,Entertainment expense,40.01,GBP,m_cineworld,Cineworld,7832,False,discretionary,0,0
txn_237,2025-08-18,expense,utilities,Utilities expense,303.3,GBP,m_britishgas,British Gas,4900,True,essential,1,1
